applicant_id,age,score,monthly_income,dti,late_payments,risk_grade,recommendation,age_group
A0164,43,301,5664.41,33.59,3,E,DENY,41-50
A0165,49,693,2181.63,14.61,4,B,APPROVE,41-50
A0166,23,843,9874.67,22.75,2,A,APPROVE,18-30
A0167,63,813,17889.22,16.29,0,A,APPROVE,61-70
A0168,66,218,2934.22,8.24,4,E,DENY,61-70
A0169,27,653,5440.14,40.06,4,B,APPROVE,18-30
A0170,49,681,7581.52,34.15,1,B,APPROVE,41-50
A0171,49,793,15171.05,17.06,2,B,APPROVE,41-50
A0172,65,596,13531.44,28.97,0,C,REVIEW,61-70
A0173,65,478,9486.99,13.05,1,D,REVIEW,61-70
A0174,41,564,15663.24,40.61,1,C,REVIEW,41-50
A0175,51,530,12973.36,9.6,3,C,REVIEW,51-60
A0176,32,840,18128.73,5.15,4,A,APPROVE,31-40
A0177,49,543,16724.48,25.08,0,C,REVIEW,41-50
A0178,46,654,6550.64,28.33,0,B,APPROVE,41-50
A0179,60,800,6885.89,28.16,0,A,APPROVE,51-60
A0180,54,924,4256.42,7.18,1,A,APPROVE,51-60
A0181,22,854,8065.37,17.56,3,A,APPROVE,18-30
A0182,48,264,19991.79,24.97,2,E,DENY,41-50
A0183,34,275,9303.52,13.66,1,E,DENY,31-40
A0184,62,910,5968.79,39.91,2,A,APPROVE,61-70
A0185,24,342,15724.69,8.48,3,E,DENY,18-30
A0186,60,804,11764.48,24.5,4,A,APPROVE,51-60
A0187,27,672,4692.83,32.66,0,B,APPROVE,18-30
A0188,29,616,8852.41,15.47,2,C,REVIEW,18-30
A0189,48,504,9460.45,29.97,1,C,REVIEW,41-50
A0190,30,935,15568.93,38.18,2,A,APPROVE,18-30
A0191,58,696,2372.08,12.61,4,B,APPROVE,51-60
A0192,54,490,6842.35,41.69,0,D,REVIEW,51-60
A0193,63,301,11316.73,27.14,2,E,DENY,61-70
A0194,65,466,6839.24,16.97,4,D,REVIEW,61-70
A0195,45,821,13311.81,22.23,1,A,APPROVE,41-50
A0196,36,202,10673.61,17.49,3,E,DENY,31-40
A0197,53,284,8510.78,34.0,1,E,DENY,51-60
A0198,53,527,19085.76,36.85,0,C,REVIEW,51-60
A0199,45,649,13378.87,38.32,1,C,REVIEW,41-50
A0200,62,653,4338.94,44.43,1,B,APPROVE,61-70
A0201,33,828,12081.65,36.65,1,A,APPROVE,31-40
A0202,60,420,16053.17,29.06,1,D,REVIEW,51-60
A0203,23,353,14752.81,18.57,0,D,DENY,18-30
A0204,24,864,5097.61,26.78,4,A,APPROVE,18-30
A0205,58,211,19503.56,6.64,2,E,DENY,51-60
A0206,38,332,10078.65,34.79,3,E,DENY,31-40
A0207,23,503,4862.45,22.84,2,C,REVIEW,18-30
A0208,23,492,5243.52,5.8,2,D,REVIEW,18-30
A0209,49,499,3768.23,7.5,3,D,REVIEW,41-50
A0210,44,939,16463.33,20.5,0,A,APPROVE,41-50
A0211,58,242,4196.55,28.34,3,E,DENY,51-60
A0212,53,542,4252.25,23.57,0,C,REVIEW,51-60
A0213,54,525,17308.49,29.77,2,C,REVIEW,51-60
A0214,22,697,8202.87,24.21,0,B,APPROVE,18-30
A0215,40,563,2555.44,31.47,4,C,REVIEW,31-40
A0216,23,626,2934.12,13.77,3,C,REVIEW,18-30
A0217,65,220,4559.07,9.51,4,E,DENY,61-70
A0218,47,606,5841.08,28.86,2,C,REVIEW,41-50
A0219,53,818,13972.63,24.39,3,A,APPROVE,51-60
A0220,27,535,4831.87,6.07,2,C,REVIEW,18-30
A0221,53,316,4139.74,20.22,4,E,DENY,51-60
A0222,25,323,15764.94,9.25,2,E,DENY,18-30
A0223,32,598,14079.0,26.25,3,C,REVIEW,31-40
A0224,38,914,9835.84,20.83,3,A,APPROVE,31-40
A0225,59,250,11887.58,29.53,2,E,DENY,51-60
A0226,45,523,7615.71,37.22,3,C,REVIEW,41-50
A0227,26,340,10685.01,16.99,3,E,DENY,18-30
A0228,55,669,11120.11,43.48,2,B,APPROVE,51-60
A0229,27,533,8970.27,26.43,4,C,REVIEW,18-30
A0230,43,572,18318.3,29.73,3,C,REVIEW,41-50
A0231,32,763,2289.11,32.23,3,B,APPROVE,31-40
A0232,69,693,16079.08,31.67,3,B,APPROVE,61-70
A0233,37,738,4238.89,25.44,3,B,APPROVE,31-40
A0234,54,868,16355.85,22.15,2,A,APPROVE,51-60
A0235,30,355,13086.41,7.15,4,D,DENY,18-30
A0236,27,490,17179.01,5.88,4,D,REVIEW,18-30
A0237,37,847,3755.26,19.32,0,A,APPROVE,31-40
A0238,50,343,12061.65,18.35,3,E,DENY,41-50
A0239,24,305,11019.58,20.51,3,E,DENY,18-30
A0240,41,619,14711.48,10.53,0,C,REVIEW,41-50
A0241,57,869,11617.23,34.53,4,A,APPROVE,51-60
A0242,40,857,11733.22,39.28,1,A,APPROVE,31-40
A0243,47,201,9732.73,42.55,1,E,DENY,41-50
A0244,24,788,7559.02,24.69,4,B,APPROVE,18-30
A0245,40,843,10680.76,33.03,3,A,APPROVE,31-40
A0246,41,289,4132.86,39.22,1,E,DENY,41-50
A0247,53,544,19307.24,21.73,2,C,REVIEW,51-60
A0248,28,549,14859.39,17.38,2,C,REVIEW,18-30
A0249,62,658,19144.41,42.47,0,B,APPROVE,61-70
A0250,54,462,6081.09,25.63,4,D,REVIEW,51-60
A0251,61,550,17828.14,24.89,4,C,REVIEW,61-70
A0252,60,307,16558.22,12.14,1,E,DENY,51-60
A0253,39,785,14188.74,9.33,3,B,APPROVE,31-40
A0254,61,238,13250.53,38.68,4,E,DENY,61-70
A0255,22,358,7697.89,29.57,1,D,DENY,18-30
A0256,32,782,16695.39,18.03,1,B,APPROVE,31-40
A0257,49,511,11027.28,12.67,4,C,REVIEW,41-50
A0258,46,440,3276.05,27.22,1,D,REVIEW,41-50
A0259,44,644,7631.54,28.36,0,C,REVIEW,41-50
A0260,52,497,18835.35,13.28,0,D,REVIEW,51-60
A0261,51,235,17312.24,39.06,4,E,DENY,51-60
A0262,63,283,19674.3,8.37,3,E,DENY,61-70
A0263,56,651,13303.88,19.24,0,B,APPROVE,51-60
A0264,28,584,6455.18,32.22,0,C,REVIEW,18-30
A0265,37,371,4930.67,15.96,4,D,DENY,31-40
A0266,47,575,5364.46,38.11,2,C,REVIEW,41-50
A0267,69,884,2356.32,34.59,1,A,APPROVE,61-70
A0268,23,561,9032.28,36.56,0,C,REVIEW,18-30
A0269,22,758,5445.7,9.76,2,B,APPROVE,18-30
A0270,69,340,9409.8,10.62,3,E,DENY,61-70
A0271,33,317,18829.9,16.46,2,E,DENY,31-40
A0272,26,476,9749.72,25.72,4,D,REVIEW,18-30
A0273,58,925,17803.72,34.92,3,A,APPROVE,51-60
A0274,53,419,12899.09,38.46,3,D,REVIEW,51-60
A0275,30,225,6448.37,33.17,2,E,DENY,18-30
A0276,62,720,8405.39,42.14,4,B,APPROVE,61-70
A0277,56,209,3510.55,34.55,0,E,DENY,51-60
A0278,40,577,8002.33,17.25,2,C,REVIEW,31-40
A0279,69,832,14195.74,15.6,0,A,APPROVE,61-70
A0280,37,836,3298.0,32.85,2,A,APPROVE,31-40
A0281,24,881,5697.23,12.71,0,A,APPROVE,18-30
A0282,41,783,8865.94,8.71,2,B,APPROVE,41-50
A0283,45,351,19676.89,26.29,3,D,DENY,41-50
A0284,54,919,16127.51,37.87,1,A,APPROVE,51-60
A0285,45,248,15202.76,9.06,3,E,DENY,41-50
A0286,32,353,4091.44,36.68,0,D,DENY,31-40
A0287,29,492,16057.93,37.46,4,D,REVIEW,18-30
A0288,57,779,16134.84,24.29,3,B,APPROVE,51-60
A0289,59,249,12819.85,7.29,1,E,DENY,51-60
A0290,61,863,19826.51,11.98,0,A,APPROVE,61-70
A0291,41,730,7854.57,33.3,3,B,APPROVE,41-50
A0292,56,811,18942.9,33.47,2,A,APPROVE,51-60
A0293,69,259,18465.16,40.93,4,E,DENY,61-70
A0294,46,366,2206.65,28.31,0,D,DENY,41-50
A0295,56,401,10102.1,9.96,3,D,REVIEW,51-60
A0296,46,345,19587.88,9.86,0,E,DENY,41-50
A0297,50,875,3856.18,33.85,2,A,APPROVE,41-50
A0298,39,638,11860.12,12.35,1,C,REVIEW,31-40
A0299,67,441,19621.24,18.14,3,D,REVIEW,61-70
A0300,39,780,11998.92,24.49,0,B,APPROVE,31-40
A0301,23,886,5416.68,5.99,0,A,APPROVE,18-30
A0302,56,760,12479.3,14.95,0,B,APPROVE,51-60
A0303,37,682,5679.93,21.32,1,B,APPROVE,31-40
A0304,62,307,11354.68,16.19,0,E,DENY,61-70
A0305,57,425,3332.76,10.45,4,D,REVIEW,51-60
A0306,54,872,12898.69,34.12,4,A,APPROVE,51-60
A0307,25,830,11302.22,37.53,0,A,APPROVE,18-30
A0308,54,860,15322.9,15.3,4,A,APPROVE,51-60
A0309,35,861,13352.61,35.98,3,A,APPROVE,31-40
A0310,42,631,11892.91,20.42,4,C,REVIEW,41-50
A0311,69,854,14416.02,25.27,0,A,APPROVE,61-70
A0312,41,618,4590.95,39.24,2,C,REVIEW,41-50
A0313,29,654,12716.47,35.0,3,B,APPROVE,18-30
A0314,28,359,5097.99,37.2,1,D,DENY,18-30
A0315,24,722,18659.4,10.47,0,B,APPROVE,18-30
A0316,38,849,3230.01,7.79,1,A,APPROVE,31-40
A0317,54,789,9746.75,40.74,2,B,APPROVE,51-60
A0318,69,276,14524.35,20.51,1,E,DENY,61-70
A0319,33,708,10244.4,16.52,0,B,APPROVE,31-40
A0320,43,640,3657.71,33.99,0,C,REVIEW,41-50
A0321,43,453,11960.82,38.46,2,D,REVIEW,41-50
A0322,67,519,13549.37,39.5,0,C,REVIEW,61-70
A0323,51,462,14668.26,17.64,2,D,REVIEW,51-60
A0324,59,796,8718.68,39.09,2,B,APPROVE,51-60
A0325,59,857,12145.88,6.64,0,A,APPROVE,51-60
A0326,66,753,10112.36,6.99,4,B,APPROVE,61-70
A0327,29,573,14097.01,29.94,2,C,REVIEW,18-30
A0328,48,836,12504.03,7.52,0,A,APPROVE,41-50
A0329,48,366,11463.61,17.98,4,D,DENY,41-50
A0330,55,658,6491.44,31.91,2,B,APPROVE,51-60
A0331,42,479,2036.33,18.49,4,D,REVIEW,41-50
A0332,51,899,5133.47,12.18,3,A,APPROVE,51-60
A0333,54,501,4107.19,16.25,3,C,REVIEW,51-60
A0334,49,730,10083.53,23.3,4,B,APPROVE,41-50
A0335,68,779,13020.65,24.02,2,B,APPROVE,61-70
A0336,54,417,5835.53,36.32,0,D,REVIEW,51-60
A0337,26,301,18903.03,35.01,1,E,DENY,18-30
A0338,69,753,2120.28,23.27,0,B,APPROVE,61-70
A0339,40,487,15901.42,38.83,1,D,REVIEW,31-40
A0340,25,366,13253.69,9.57,1,D,DENY,18-30
A0341,56,820,8723.99,15.21,2,A,APPROVE,51-60
A0342,38,235,2908.8,38.12,4,E,DENY,31-40
A0343,65,943,13294.76,20.12,0,A,APPROVE,61-70
A0344,49,940,8941.04,44.25,4,A,APPROVE,41-50
A0345,51,552,18852.81,23.65,3,C,REVIEW,51-60
A0346,50,875,11755.82,36.68,2,A,APPROVE,41-50
A0347,67,272,18913.73,21.09,2,E,DENY,61-70
A0348,27,847,5968.71,22.0,3,A,APPROVE,18-30
A0349,56,552,15063.07,20.32,0,C,REVIEW,51-60
A0350,62,269,13110.48,33.76,3,E,DENY,61-70
A0351,58,624,15309.35,26.9,0,C,REVIEW,51-60
A0352,45,907,5864.02,42.75,1,A,APPROVE,41-50
A0353,50,760,13969.9,15.04,2,B,APPROVE,41-50
A0354,67,841,10964.73,9.02,0,A,APPROVE,61-70
A0355,52,716,15370.85,20.73,4,B,APPROVE,51-60
A0356,56,627,7886.8,29.67,4,C,REVIEW,51-60
A0357,54,738,18021.03,39.43,2,B,APPROVE,51-60
A0358,42,359,3517.42,18.85,3,D,DENY,41-50
A0359,53,348,16529.41,31.15,3,E,DENY,51-60
A0360,44,429,17503.75,19.01,0,D,REVIEW,41-50
A0361,54,911,16710.54,29.69,3,A,APPROVE,51-60
A0362,24,761,11229.08,40.39,2,B,APPROVE,18-30
A0363,39,266,9890.93,14.25,0,E,DENY,31-40
A0364,46,580,19932.72,21.17,1,C,REVIEW,41-50
A0365,63,257,6125.1,44.73,3,E,DENY,61-70
A0366,52,458,11843.77,39.74,3,D,REVIEW,51-60
A0367,24,541,14072.16,27.59,0,C,REVIEW,18-30
A0368,61,329,14615.62,25.67,4,E,DENY,61-70
A0369,67,926,5672.44,16.38,3,A,APPROVE,61-70
A0370,45,371,13771.89,25.69,2,D,DENY,41-50
A0371,53,813,16730.65,38.93,3,A,APPROVE,51-60
A0372,68,408,2900.33,32.41,1,D,REVIEW,61-70
A0373,43,553,18407.38,16.6,3,C,REVIEW,41-50
A0374,44,670,2531.07,13.06,4,B,APPROVE,41-50
A0375,23,315,8407.48,15.61,3,E,DENY,18-30
A0376,48,463,2284.64,11.79,0,D,REVIEW,41-50
A0377,63,861,3388.61,8.83,3,A,APPROVE,61-70
A0378,23,641,18401.03,21.77,4,C,REVIEW,18-30
A0379,47,747,8387.49,9.53,0,B,APPROVE,41-50
A0380,38,652,9645.89,11.88,2,B,APPROVE,31-40
A0381,61,676,5876.2,26.89,0,B,APPROVE,61-70
A0382,54,486,12747.72,11.58,1,D,REVIEW,51-60
A0383,30,502,12706.46,7.56,0,C,REVIEW,18-30
A0384,64,510,8699.61,17.7,2,C,REVIEW,61-70
A0385,69,407,7994.63,13.81,3,D,REVIEW,61-70
A0386,60,817,17929.36,25.61,0,A,APPROVE,51-60
A0387,50,645,8899.12,9.09,0,C,REVIEW,41-50
A0388,63,869,10883.02,35.07,0,A,APPROVE,61-70
A0389,47,832,7099.49,41.25,0,A,APPROVE,41-50
A0390,56,254,16161.85,34.74,2,E,DENY,51-60
A0391,46,211,9154.07,26.31,4,E,DENY,41-50
A0392,45,856,11245.0,39.43,4,A,APPROVE,41-50
A0393,34,599,6560.43,32.8,0,C,REVIEW,31-40
A0394,28,847,19777.87,5.42,2,A,APPROVE,18-30
A0395,57,714,7246.92,20.76,2,B,APPROVE,51-60
A0396,66,855,15873.37,39.04,0,A,APPROVE,61-70
A0397,41,741,9694.92,18.83,1,B,APPROVE,41-50
A0398,22,436,5711.91,6.41,0,D,REVIEW,18-30
A0399,29,478,16394.94,34.85,1,D,REVIEW,18-30
A0400,67,547,8004.92,37.08,0,C,REVIEW,61-70
A0401,37,826,17573.48,11.42,1,A,APPROVE,31-40
A0402,35,303,18474.63,26.49,1,E,DENY,31-40
A0403,33,829,17476.83,12.68,0,A,APPROVE,31-40
A0404,44,716,2630.14,33.77,1,B,APPROVE,41-50
A0405,36,447,16172.72,15.86,3,D,REVIEW,31-40
A0406,49,563,9404.11,17.65,4,C,REVIEW,41-50
A0407,55,520,17727.01,38.8,2,C,REVIEW,51-60
A0408,23,832,13483.18,24.05,1,A,APPROVE,18-30
A0409,53,485,17005.58,31.79,1,D,REVIEW,51-60
A0410,44,348,10989.77,21.09,2,E,DENY,41-50
A0411,43,283,11630.46,16.92,1,E,DENY,41-50
A0412,46,605,4598.98,30.02,2,C,REVIEW,41-50
A0413,43,655,16111.77,11.19,0,B,APPROVE,41-50
A0414,43,942,9549.01,19.92,3,A,APPROVE,41-50
A0415,63,360,11001.44,13.36,3,D,DENY,61-70
A0416,27,659,16131.76,32.83,4,B,APPROVE,18-30
A0417,36,749,12779.22,42.77,1,B,APPROVE,31-40
A0418,64,699,5619.78,44.82,4,B,APPROVE,61-70
A0419,58,937,12624.19,23.01,0,A,APPROVE,51-60
A0420,54,708,9337.39,15.1,3,B,APPROVE,51-60
A0421,29,853,10451.46,22.71,0,A,APPROVE,18-30
A0422,65,680,2509.6,38.89,0,B,APPROVE,61-70
A0423,65,862,5780.53,13.24,1,A,APPROVE,61-70
A0424,26,313,7058.69,43.08,0,E,DENY,18-30
A0425,60,948,14833.28,18.67,3,A,APPROVE,51-60
A0426,25,777,2206.86,44.43,4,B,APPROVE,18-30
A0427,27,560,9357.99,38.54,3,C,REVIEW,18-30
A0428,66,540,18632.48,37.34,1,C,REVIEW,61-70
A0429,53,648,4013.85,17.72,3,C,REVIEW,51-60
A0430,51,379,11295.64,5.35,2,D,DENY,51-60
A0431,68,901,16157.4,20.29,4,A,APPROVE,61-70
A0432,56,606,18965.56,17.07,2,C,REVIEW,51-60
A0433,61,865,15441.98,6.5,2,A,APPROVE,61-70
A0434,37,395,14970.18,25.21,1,D,DENY,31-40
A0435,34,665,16876.79,21.12,0,B,APPROVE,31-40
A0436,63,510,10031.62,30.38,2,C,REVIEW,61-70
A0437,51,461,16505.2,29.85,3,D,REVIEW,51-60
A0438,40,618,2143.36,9.83,0,C,REVIEW,31-40
A0439,38,605,18642.1,44.08,3,C,REVIEW,31-40
A0440,40,342,9979.52,12.48,3,E,DENY,31-40
A0441,49,541,11960.84,22.81,0,C,REVIEW,41-50
A0442,47,515,6587.88,24.52,0,C,REVIEW,41-50
A0443,58,300,15365.55,37.52,3,E,DENY,51-60
A0444,47,443,3379.44,8.97,1,D,REVIEW,41-50
A0445,44,689,17707.44,22.15,4,B,APPROVE,41-50
A0446,30,211,16906.1,30.14,4,E,DENY,18-30
A0447,33,438,5889.08,13.61,1,D,REVIEW,31-40
A0448,22,760,16567.84,30.1,0,B,APPROVE,18-30
A0449,22,241,16154.44,41.95,3,E,DENY,18-30
A0450,68,877,13379.9,44.9,4,A,APPROVE,61-70
A0451,55,793,8723.36,6.3,3,B,APPROVE,51-60
A0452,53,628,6886.98,14.42,1,C,REVIEW,51-60
A0453,69,357,6172.1,17.41,3,D,DENY,61-70
A0454,46,415,7734.96,20.97,1,D,REVIEW,41-50
A0455,61,869,18264.05,14.69,0,A,APPROVE,61-70
